title,url
"삼성전자, '갤럭시 탭 S10 시리즈' 성수 팝업스토어 운영. 기념품·쿠폰...",http://www.globalepic.co.kr/view.php?ud=20241027093428391793cd542464_29
'저가매수' 삼성전자 장초반 1%대 상승…5만 6700원[핫종목],https://n.news.naver.com/mnews/article/421/0007871323?sid=101
"SK텔레콤-삼성전자, AI로 '5G 기지국 품질 최적화' 맞손",https://n.news.naver.com/mnews/article/421/0007871322?sid=105
"코스피, 강보합 출발…2590선 넘어 상승세[개황시장]",https://n.news.naver.com/mnews/article/421/0007871319?sid=101
"[특징주]추락하는 삼성전자, 신저가 찍고 1%대 반등",https://n.news.naver.com/mnews/article/018/0005870627?sid=101
"SKT·삼성전자, AI로 5G 품질 최적화한다",https://n.news.naver.com/mnews/article/011/0004407780?sid=105
"코스피, 기관·개인 ‘사자’ 속 강보합 출발",https://n.news.naver.com/mnews/article/018/0005870602?sid=101
"KT, 5G 통화 서비스 'VoNR' 제공…&quot;6G 진화 발판&quot;",https://n.news.naver.com/mnews/article/421/0007871278?sid=105
"취임 2주년 맞은 '이재용 회장', 관심도·호감도 더 높아졌다…&quot;국민들...",http://www.thebigdata.co.kr/view.php?ud=2024102717255688796085a06ef_23
삼성 무선 스틱청소기 '비스포크 제크' 해외 매체서 연이어 호평,https://n.news.naver.com/mnews/article/421/0007871209?sid=101
"[이번주 증시 전망] 코스피, 4주 연속 2600 하회…美지표에 모멘텀 달렸...",https://n.news.naver.com/mnews/article/011/0004407719?sid=101
"'취임 2주년' 이재용, 전장부터 챙겼다 [biz-플러스]",https://n.news.naver.com/mnews/article/011/0004407716?sid=101
"순매수 상위 10개 종목 보니…외인·기관 웃고, 개미 울었다",https://n.news.naver.com/mnews/article/011/0004407631?sid=101
"취임 2주년 이재용, 정의선·도요다와 회동…'전장동맹' 판 커진다",https://n.news.naver.com/mnews/article/011/0004407579?sid=101
엄중한 취임 2주년 보낸 JY…삼성 연말 인사 폭 커질까,https://n.news.naver.com/mnews/article/018/0005870158?sid=101
[그래픽] 삼성전자·SK하이닉스 영업이익 추이,https://n.news.naver.com/mnews/article/001/0015009274?sid=101
"'취임 2주년' 이재용, 정의선·日도요타와 회동…전장 협력 논의",https://n.news.naver.com/mnews/article/011/0004407563?sid=101
"삼성전자·SK하닉, 실적·외국인 수급 정반대…시총 격차도 줄어",https://n.news.naver.com/mnews/article/018/0005869897?sid=101
"'11월8일 배송' 갤폴드Z SE, 출시 첫날 판매량 왜 제한했나",https://n.news.naver.com/mnews/article/018/0005869850?sid=105
"삼성전자, '갤럭시 탭 S10 시리즈' 성수 팝업스토어 운영",https://n.news.naver.com/mnews/article/018/0005869824?sid=105
